,Item Description,Category Name
1035,Baileys Pumpkin Spice Irish Cream Mini,Temporary & Specialty Packages
1041,99 Apples,American Schnapps
1042,Southern Comfort w/Cocktail Shaker,Temporary & Specialty Packages
1047,Kinky Blue,American Cordials & Liqueurs
1051,Fireball Cinnamon,American Cordials & Liqueurs
1052,Remy Martin Vsop (flask),Imported Brandies
1076,Jameson Caskmates,Irish Whiskies
1077,Boodles British Gin London Dry,Imported Dry Gins
1078,Woodford Reserve Double Oaked,Straight Bourbon Whiskies
1080,Crown Royal Xr Canadian Whiskey,Canadian Whiskies
1084,Lauder's,Scotch Whiskies
1097,Ezra Brooks 50 Mo Ky Sour Mash Bourbon,Straight Bourbon Whiskies
1099,Uv Cherry Red Vodka Mini,American Flavored Vodka
1104,Tortilla Gold Tequila,Mixto Tequila
1112,Crown Royal Vanilla Mini,Canadian Whiskies
1115,Swell Zone Vodka,American Vodka
1116,Rocket Fuel,Neutral Grain Spirits
1117,Saints N Sinners Apple Pie,American Distilled Spirit Specialty
1118,Prairie Fire,Blended Whiskies
1130,Hawkeye Light Rum,White Rum
1154,Smirnoff Strawberry,American Flavored Vodka
1172,Crown Royal Maple,Canadian Whiskies
1181,G & W Bourbon,Straight Bourbon Whiskies
1183,Ten High Traveler,Straight Bourbon Whiskies
1190,Fleischmann's Gin,American Dry Gins
1194,Barton Vodka Pet,American Vodka
1196,Svedka Cherry Vodka,Imported Flavored Vodka
1206,Myers's Rum Original Dark,Aged Dark Rum
1210,Admiral Nelson Spiced Rum Traveler,Spiced Rum
1216,Ronrico Silver Label Rum (pr),White Rum
1220,Christian Bros Brandy Traveler,American Brandies
1221,Christian Bros Brandy-Round,American Brandies
1223,Paramount Apricot Flavored Brandy,American Brandies
1224,Chi-Chi's Strawberry Margarita W/tequila,Cocktails / RTD
1233,Dr. Mcgillicuddy's Mentholmint,Imported Schnapps
1239,Rondiaz Rum Spiced,Spiced Rum
1242,Dekuyper Peachtree Schnapps,American Schnapps
1246,"""Jose Cuervo Silver """"Rolling Stones""""""",100% Agave Tequila
1256,Hennessy Master Blender''s Selection,Temporary & Specialty Packages
1258,Remy Martin 1738 Accord Royal,Imported Brandies
1261,1800 Silver,100% Agave Tequila
1265,Ciroc Mango,Imported Flavored Vodka
1272,Jack Daniels Black Label,Tennessee Whiskies
1273,Jack Daniels Old #7 Black Lbl Flat,Tennessee Whiskies
1287,Jameson Mini,Irish Whiskies
1317,New Amsterdam,American Vodka
1325,Courvoisier Vs Coganc,Imported Brandies
1332,E & J Vs Brandy,American Brandies
1355,Patron Tequila Silver Mini,100% Agave Tequila
1356,Lot 40,Canadian Whiskies
1358,Kraken Black Spiced 70prf,Spiced Rum
1359,Kraken Black Spiced Rum 70prf,Spiced Rum
1362,Espolon Blanco,100% Agave Tequila
1363,Espolon Reposado,100% Agave Tequila
1364,Filibuster Dual Cask Bourbon,Straight Bourbon Whiskies
1365,Filibuster Boondoggler Whiskey,Blended Whiskies
1366,Filibuster Dual Cask Rye Whiskey,Straight Rye Whiskies
1367,High West Rendezvous Rye,Straight Rye Whiskies
1368,High West Campfire,Blended Whiskies
1369,Climax Wood-Fired Whiskey,Blended Whiskies
1373,Seagrams Extra Dry Gin Mini,American Dry Gins
1384,Crown Royal Black,Canadian Whiskies
1414,E & J Vs Brandy Travelers,American Brandies
1415,Blackheart Premium Spiced Rum,Spiced Rum
1417,Calico Jack Spiced,Spiced Rum
1419,Portland Potato Vodka,American Vodka
1420,Outerspace,American Vodka
1425,Absolut Ruby Red,Imported Flavored Vodka
1431,Smirnoff Sours Berry Lemon,American Flavored Vodka
1435,Pearl Cucumber Vodka,American Flavored Vodka
1450,Dekuyper Triple Sec,Triple Sec
1454,UV Candy Bar,American Flavored Vodka
1456,Hornitos Plata,100% Agave Tequila
1459,Olmeca Altos Plata,100% Agave Tequila
1460,Lunazul Blanco,100% Agave Tequila
1464,Three Olives Cherry Vodka,Imported Flavored Vodka
1466,Three Olives Vodka,Imported Vodka
1470,Prairie Organic Gin,American Dry Gins
1471,Hendrick's Gin,Imported Dry Gins
1472,Beefeater Gin,Imported Dry Gins
1477,Glenlivet 12 Yr Malt Scotch,Single Malt Scotch
1478,Redbreast 12YR,Irish Whiskies
1482,Dalwhinnie 15 Yr Single Malt Scotch,Single Malt Scotch
1487,Evan Williams 1783,Straight Rye Whiskies
1488,Cabin Still Str Bourbon,Straight Bourbon Whiskies
1489,Red Stag Black Cherry,Straight Bourbon Whiskies
1490,Jim Beam Rye,Straight Rye Whiskies
1492,Clyde May's Straight Bourbon,Straight Bourbon Whiskies
1493,Four Roses Yellow Label,Straight Bourbon Whiskies
1495,Four Roses Single Barrel,Single Barrel Bourbon Whiskies
1496,Sazerac Rye,Straight Rye Whiskies
1497,J.R. Ewing Private Reserve,Straight Bourbon Whiskies
1502,Dekuyper Cherry Pucker Schnapps,American Schnapps
1505,Paramount Blue Curacao,American Cordials & Liqueurs
1507,Salvador's Original Margarita PET,Cocktails / RTD
1510,Margaritaville Last Mango Margarita,Cocktails / RTD
1511,Chi-Chi's Long Island Iced Tea,Cocktails / RTD
1512,Chi-Chi's Gold Margarita,Cocktails / RTD
1515,Whistlepig 10YR,Straight Rye Whiskies
1528,Cedar Ridge Unaged Whiskey,Blended Whiskies
1532,Bushmills Black Bush Irish Whiskey,Irish Whiskies
1534,Seagrams 7 Crown Pet Flask,Blended Whiskies
1547,Smirnoff Sorbet Light Raspberry Pomegranate,American Flavored Vodka
1550,E & J Vsop Superior Reserve Mini,American Brandies
1555,Admiral Nelson Coconut Rum,Flavored Rum
1558,Lucid Absinthe,Imported Cordials & Liqueurs
1563,Cruzan Black Cherry Rum,Flavored Rum
1565,Dekuyper Signature Creme De Banana,American Cordials & Liqueurs
1566,Dekuyper Raspberry Pucker,American Schnapps
1568,Hornitos Gold,100% Agave Tequila
1571,Kamora Coffee Liqueur,Coffee Liqueurs
1577,Paramount Gold Rum Traveler,Gold Rum
1582,Arrow Mcdale's Butterscotch Schnapps,American Schnapps
1589,Midnight Moon Cherry,Neutral Grain Spirits Flavored
1617,Jose Cuervo Light White Peach Margarita,Cocktails / RTD
1623,Dr. Mcgillicuddy's Cherry Mini,Imported Schnapps
1626,Dr. Mcgillicuddy's Vanilla,Imported Schnapps
1629,Smirnoff Peach,American Flavored Vodka
1632,Smirnoff Watermelon,American Flavored Vodka
1638,Olmeca Altos Reposado,100% Agave Tequila
1642,Exotico Reposado,100% Agave Tequila
1644,Captain Morgan Cannon Blast Mini,Flavored Rum
1645,Baileys Expresso Creme,Cream Liqueurs
