,Item Description,Vendor Number
2013,Gosling's Black Seal,91.0
2023,Canadian Ltd Whisky Convenience Pack,55.0
2026,Tortilla Gold Dss,421.0
2038,Skol Vodka Traveler,55.0
2041,Admiral Nelson Spiced 101,259.0
2051,E & J Vs Brandy Square,205.0
2054,Christian Bros Apple,259.0
2056,Burnett's Grape Vodka,259.0
2057,Burnett's Tropical Punch,259.0
2059,Svedka Citron Vodka,115.0
2068,Campari Italian Aperitivo,461.0
2075,Ezra Brooks Bourbon Cream,434.0
2079,Jim Beam Double Oak,65.0
2080,Rebel Yell Straight Kentucky Bourbon,434.0
2081,Jeremiah Weed 100prf Bourbon Liqueur,260.0
2112,Jack Daniel's Tennessee Fire Mini,85.0
2172,Jose Cuervo Especial Reposado Flask,395.0
2212,Uv Citruv (citrus) Vodka,380.0
2213,Uv Pink Lemonade Vodka,380.0
2247,Tomatin Single Malt,322.0
2249,Hartley,330.0
2250,Il Tramonto Limoncello,322.0
2255,Copa De Oro Mexican Coffee,259.0
2266,Patron Reposado Tequila,410.0
2268,D'usse VSOP,35.0
2272,Cinerator Mini,259.0
2284,Canadian Hunter Rye,421.0
2286,Serpent's Bite Apple Cider Mini,115.0
2287,Deep Eddy Lemon Mini,259.0
2300,Grey Goose Le Citron,35.0
2301,Absolut Vanilia,370.0
2307,Clearheart Vodka,125.0
2316,Smirnoff Sourced Cranberry Apple,260.0
2326,Gordon's Vodka 80 Prf - Pet,260.0
2337,Burnett's Cherry Vodka,259.0
2342,Cedar Ridge Port Cask Finished Bourbon,125.0
2343,Cedar Ridge Malted Rye,125.0
2344,Cedar Ridge Single Malt Whiskey,125.0
2345,Cedar Ridge Wheat Whiskey,125.0
2347,Maker's 46,65.0
2353,Evan Williams Vintage,259.0
2354,Russell's Reserve Single Barrel Bourbon,461.0
2363,Talisker 10YR,260.0
2369,Piehole Pecan Pie,260.0
2370,Johnnie Walker Green,260.0
2374,Cedar Ridge Apple Brandy,125.0
2378,Canadian Mist Whiskey Pet,85.0
2380,Passport Scotch,370.0
2383,Lauder's Scotch Traveler,55.0
2385,1800 Reposado Tequila,395.0
2387,Bombay Sapphire East,35.0
2389,Captain Morgan 1671,260.0
2393,Broker's London Dry Gin,300.0
2400,Cruzan Coconut Rum,65.0
2403,Paramount White Rum Traveler,434.0
2408,Aperol,461.0
2409,Fernet Branca Liqueur,255.0
2411,"""Rumchata """"GoChatas""""""",305.0
2412,Goldschlager Cinnamon Schnapps,260.0
2419,Margaritaville Skinny Margarita,330.0
2420,Tippy Cow Shamrock Mint,305.0
2421,Sweet Revenge,285.0
2425,Chi-Chi's Pina Colada W/rum,55.0
2472,Effen Cucumber,65.0
2481,Metaxa Ouzo,389.0
2493,Three Olives Pomegranate Vodka,395.0
2494,Bushmills Irish Whiskey,395.0
